"type"," text " 

"ham"," Go   until   jurong   point
"ham"," Ok   lar ...   Joking   wif   u   oni ... " 

"spam"," Free   entry   in   2   a   wkly   comp   to   win   FA   Cup   final   tkts   21 st   May   2005.   Text   FA   to   87121   to   receive   entry   question ( std   txt   rate ) T & C ' s   apply   08452810075 over18 ' s " 

"ham"," U   dun   say   so   early   hor ...   U   c   already   then   say ... " 

"ham"," Nah   I   don ' t   think   he   goes   to   usf
"spam"," FreeMsg   Hey   there   darling   it ' s   been   3   week ' s   now   and   no   word   back !   I ' d   like   some   fun   you   up   for   it   still ?   Tb   ok !   XxX   std   chgs   to   send
"ham"," Even   my   brother   is   not   like   to   speak   with   me .   They   treat   me   like   aids   patent . " 

"ham"," As   per   your   request   ' Melle   Melle   ( Oru   Minnaminunginte   Nurungu   Vettam ) '   has   been   set   as   your   callertune   for   all   Callers .   Press   * 9   to   copy   your   friends   Callertune " 

"spam"," WINNER ! !   As   a   valued   network   customer   you   have   been   selected   to   receivea   £ 900   prize   reward !   To   claim   call   09061701461.   Claim   code   KL341 .   Valid   12   hours   only . " 

"spam"," Had   your   mobile   11   months   or   more ?   U   R   entitled   to   Update   to   the   latest   colour   mobiles   with   camera   for   Free !   Call   The   Mobile   Update   Co   FREE   on   08002986030 " 

"ham"," I ' m   gonna   be   home   soon   and   i   don ' t   want   to   talk   about   this   stuff   anymore   tonight
"spam"," SIX   chances   to   win   CASH !   From   100   to   20
"spam"," URGENT !   You   have   won   a   1   week   FREE   membership   in   our   £ 100
"ham"," I ' ve   been   searching   for   the   right   words   to   thank   you   for   this   breather .   I   promise   i   wont   take   your   help   for   granted   and   will   fulfil   my   promise .   You   have   been   wonderful   and   a   blessing   at   all   times . " 

"ham"," I   HAVE   A   DATE   ON   SUNDAY   WITH   WILL ! ! " 

"spam"," XXXMobileMovieClub :   To   use   your   credit
"ham"," Oh   k ... i ' m   watching   here : ) " 

"ham"," Eh   u   remember   how   2   spell   his   name ...   Yes   i   did .   He   v   naughty   make   until   i   v   wet . " 

"ham"," Fine   if   that ' s   the   way   u   feel .   That ' s   the   way   its   gota   b " 

"spam"," England   v   Macedonia   -   dont   miss   the   goals / team   news .   Txt   ur   national   team   to   87077   eg   ENGLAND   to   87077   Try : WALES
"ham"," Is   that   seriously   how   you   spell   his   name ? " 

"ham"," I ‘ m   going   to   try   for   2   months   ha   ha   only   joking " 

"ham"," So   ü   pay   first   lar ...   Then   when   is   da   stock   comin ... " 

"ham"," Aft   i   finish   my   lunch   then   i   go   str   down   lor .   Ard   3   smth   lor .   U   finish   ur   lunch   already ? " 

"ham"," Ffffffffff .   Alright   no   way   I   can   meet   up   with   you   sooner ? " 

"ham"," Just   forced   myself   to   eat   a   slice .   I ' m   really   not   hungry   tho .   This   sucks .   Mark   is   getting   worried .   He   knows   I ' m   sick   when   I   turn   down   pizza .   Lol " 

"ham"," Lol   your   always   so   convincing . " 

"ham"," Did   you   catch   the   bus   ?   Are   you   frying   an   egg   ?   Did   you   make   a   tea ?   Are   you   eating   your   mom ' s   left   over   dinner   ?   Do   you   feel   my   Love   ? " 

"ham"," I ' m   back   & amp ;   we ' re   packing   the   car   now
"ham"," Ahhh .   Work .   I   vaguely   remember   that !   What   does   it   feel   like ?   Lol " 

"ham"," Wait   that ' s   still   not   all   that   clear
"ham"," Yeah   he   got   in   at   2   and   was   v   apologetic .   n   had   fallen   out   and   she   was   actin   like   spoilt   child   and   he   got   caught   up   in   that .   Till   2 !   But   we   won ' t   go   there !   Not   doing   too   badly   cheers .   You ? " 

"ham"," K   tell   me   anything   about   you . " 

"ham"," For   fear   of   fainting   with   the   of   all   that   housework   you   just   did ?   Quick   have   a   cuppa " 

"spam"," Thanks   for   your   subscription   to   Ringtone   UK   your   mobile   will   be   charged   £ 5 / month   Please   confirm   by   replying   YES   or   NO .   If   you   reply   NO   you   will   not   be   charged " 

"ham"," Yup ...   Ok   i   go   home   look   at   the   timings   then   i   msg   ü   again ...   Xuhui   going   to   learn   on   2 nd   may   too   but   her   lesson   is   at   8 am " 

"ham"," Oops
"ham"," I   see   the   letter   B   on   my   car " 

"ham"," Anything   lor ...   U   decide ... " 

"ham"," Hello !   How ' s   you   and   how   did   saturday   go ?   I   was   just   texting   to   see   if   you ' d   decided   to   do   anything   tomo .   Not   that   i ' m   trying   to   invite   myself   or   anything ! " 

"ham"," Pls   go   ahead   with   watts .   I   just   wanted   to   be   sure .   Do   have   a   great   weekend .   Abiola " 

"ham"," Did   I   forget   to   tell   you   ?   I   want   you  
"spam"," 07732584351   -   Rodger   Burns   -   MSG   =   We   tried   to   call   you   re   your   reply   to   our   sms   for   a   free   nokia   mobile   +   free   camcorder .   Please   call   now   08000930705   for   delivery   tomorrow " 

"ham"," WHO   ARE   YOU   SEEING ? " 

"ham"," Great !   I   hope   you   like   your   man   well   endowed .   I   am     & lt ; #& gt ;     inches ... " 

"ham"," No   calls .. messages .. missed   calls " 

"ham"," Didn ' t   you   get   hep   b   immunisation   in   nigeria . " 

"ham"," Fair   enough
"ham"," Yeah   hopefully
"ham"," U   don ' t   know   how   stubborn   I   am .   I   didn ' t   even   want   to   go   to   the   hospital .   I   kept   telling   Mark   I ' m   not   a   weak   sucker .   Hospitals   are   for   weak   suckers . " 

"ham"," What   you   thinked   about   me .   First   time   you   saw   me   in   class . " 

"ham"," A   gram   usually   runs   like     & lt ; #& gt ;  
"ham"," K   fyi   x   has   a   ride   early   tomorrow   morning   but   he ' s   crashing   at   our   place   tonight " 

"ham"," Wow .   I   never   realized   that   you   were   so   embarassed   by   your   accomodations .   I   thought   you   liked   it
"spam"," SMS .   ac   Sptv :   The   New   Jersey   Devils   and   the   Detroit   Red   Wings   play   Ice   Hockey .   Correct   or   Incorrect ?   End ?   Reply   END   SPTV " 

"ham"," Do   you   know   what   Mallika   Sherawat   did   yesterday ?   Find   out   now   @     & lt ; URL & gt ; " 

"spam"," Congrats !   1   year   special   cinema   pass   for   2   is   yours .   call   09061209465   now !   C   Suprman   V
"ham"," Sorry
"ham"," Tell   where   you   reached " 

"ham"," Yes .. gauti   and   sehwag   out   of   odi   series . " 

"ham"," Your   gonna   have   to   pick   up   a   $ 1   burger   for   yourself   on   your   way   home .   I   can ' t   even   move .   Pain   is   killing   me . " 

"ham"," Ha   ha   ha   good   joke .   Girls   are   situation   seekers . " 

"ham"," Its   a   part   of   checking   IQ " 

"ham"," Sorry   my   roommates   took   forever
"ham"," Ok   lar   i   double   check   wif   da   hair   dresser   already   he   said   wun   cut   v   short .   He   said   will   cut   until   i   look   nice . " 

"spam"," As   a   valued   customer
"ham"," Today   is   " " song   dedicated   day .. " "   Which   song   will   u   dedicate   for   me ?   Send   this   to   all   ur   valuable   frnds   but   first   rply   me ... " 

"spam"," Urgent   UR   awarded   a   complimentary   trip   to   EuroDisinc   Trav
"spam"," Did   you   hear   about   the   new   " " Divorce   Barbie " " ?   It   comes   with   all   of   Ken ' s   stuff ! " 

"ham"," I   plane   to   give   on   this   month   end . " 

"ham"," Wah   lucky   man ...   Then   can   save   money ...   Hee ... " 

"ham"," Finished   class   where   are   you . " 

"ham"," HI   BABE   IM   AT   HOME   NOW   WANNA   DO   SOMETHING ?   XX " 

"ham"," K .. k : ) where   are   you ? how   did   you   performed ? " 

"ham"," U   can   call   me   now ... " 

"ham"," I   am   waiting   machan .   Call   me   once   you   free . " 

"ham"," Thats   cool .   i   am   a   gentleman   and   will   treat   you   with   dignity   and   respect . " 

"ham"," I   like   you   peoples   very   much : )   but   am   very   shy   pa . " 

"ham"," Does   not   operate   after     & lt ; #& gt ;     or   what " 

"ham"," Its   not   the   same   here .   Still   looking   for   a   job .   How   much   do   Ta ' s   earn   there . " 

"ham"," Sorry
"ham"," K .   Did   you   call   me   just   now   ah ? " 

"ham"," Ok   i   am   on   the   way   to   home   hi   hi " 

"ham"," You   will   be   in   the   place   of   that   man " 

"ham"," Yup   next   stop . " 

"ham"," I   call   you   later
"ham"," For   real   when   u   getting   on   yo ?   I   only   need   2   more   tickets   and   one   more   jacket   and   I ' m   done .   I   already   used   all   my   multis . " 

"ham"," Yes   I   started   to   send   requests   to   make   it   but   pain   came   back   so   I ' m   back   in   bed .   Double   coins   at   the   factory   too .   I   gotta   cash   in   all   my   nitros . " 

"ham"," I ' m   really   not   up   to   it   still   tonight   babe " 

"ham"," Ela   kano .
"ham"," Yeah   do !   Don ‘ t   stand   to   close   tho -   you ‘ ll   catch   something ! " 

"ham"," Sorry   to   be   a   pain .   Is   it   ok   if   we   meet   another   night ?   I   spent   late   afternoon   in   casualty   and   that   means   i   haven ' t   done   any   of   y   stuff42moro   and   that   includes   all   my   time   sheets   and   that .   Sorry . " 

"ham"," Smile   in   Pleasure   Smile   in   Pain   Smile   when   trouble   pours   like   Rain   Smile   when   sum1   Hurts   U   Smile   becoz   SOMEONE   still   Loves   to   see   u   Smiling ! ! " 

"spam"," Please   call   our   customer   service   representative   on   0800   169   6031   between   10 am - 9 pm   as   you   have   WON   a   guaranteed   £ 1000   cash   or   £ 5000   prize ! " 

"ham"," Havent   planning   to   buy   later .   I   check   already   lido   only   got   530   show   in   e   afternoon .   U   finish   work   already ? " 

"spam"," Your   free   ringtone   is   waiting   to   be   collected .   Simply   text   the   password   " " MIX " "   to   85069   to   verify .   Get   Usher   and   Britney .   FML
"ham"," Watching   telugu   movie .. wat   abt   u ? " 

"ham"," i   see .   When   we   finish   we   have   loads   of   loans   to   pay " 

"ham"," Hi .   Wk   been   ok   -   on   hols   now !   Yes   on   for   a   bit   of   a   run .   Forgot   that   i   have   hairdressers   appointment   at   four   so   need   to   get   home   n   shower   beforehand .   Does   that   cause   prob   for   u ? " " " 

"ham"," I   see   a   cup   of   coffee   animation " 

"ham"," Please   don ' t   text   me   anymore .   I   have   nothing   else   to   say . " 

"ham"," Okay   name   ur   price   as   long   as   its   legal !   Wen   can   I   pick   them   up ?   Y   u   ave   x   ams   xx " 

"ham"," I ' m   still   looking   for   a   car   to   buy .   And   have   not   gone   4 the   driving   test   yet . " 

"ham"," As   per   your   request   ' Melle   Melle   ( Oru   Minnaminunginte   Nurungu   Vettam ) '   has   been   set   as   your   callertune   for   all   Callers .   Press   * 9   to   copy   your   friends   Callertune " 

"ham"," wow .   You ' re   right !   I   didn ' t   mean   to   do   that .   I   guess   once   i   gave   up   on   boston   men   and   changed   my   search   location   to   nyc
"ham"," Umma   my   life   and   vava   umma   love   you   lot   dear " 

"ham"," Thanks   a   lot   for   your   wishes   on   my   birthday .   Thanks   you   for   making   my   birthday   truly   memorable . " 

"ham"," Aight
"ham"," How   would   my   ip   address   test   that   considering   my   computer   isn ' t   a   minecraft   server " 

"ham"," I   know !   Grumpy   old   people .   My   mom   was   like   you   better   not   be   lying .   Then   again   I   am   always   the   one   to   play   jokes ... " 

"ham"," Dont   worry .   I   guess   he ' s   busy . " 

"ham"," What   is   the   plural   of   the   noun   research ? " 

"ham"," Going   for   dinner . msg   you   after . " 

"ham"," I ' m   ok   wif   it   cos   i   like   2   try   new   things .   But   i   scared   u   dun   like   mah .   Cos   u   said   not   too   loud . " 

"spam"," GENT !   We   are   trying   to   contact   you .   Last   weekends   draw   shows   that   you   won   a   £ 1000   prize   GUARANTEED .   Call   09064012160.   Claim   Code   K52 .   Valid   12 hrs   only .   150 ppm " 

"ham"," Wa
"ham"," As   I   entered   my   cabin   my   PA   said
"spam"," You   are   a   winner   U   have   been   specially   selected   2   receive   £ 1000   or   a   4 *   holiday   ( flights   inc )   speak   to   a   live   operator   2   claim   0871277810910 p / min   ( 18 + ) " 

"ham"," Goodo !   Yes   we   must   speak   friday   -   egg - potato   ratio   for   tortilla   needed ! " 

"ham"," Hmm ... my   uncle   just   informed   me   that   he ' s   paying   the   school   directly .   So   pls   buy   food . " 

"spam"," PRIVATE !   Your   2004   Account   Statement   for   07742676969   shows   786   unredeemed   Bonus   Points .   To   claim   call   08719180248   Identifier   Code :   45239   Expires " 

"spam"," URGENT !   Your   Mobile   No .   was   awarded   £ 2000   Bonus   Caller   Prize   on   5 / 9 / 03   This   is   our   final   try   to   contact   U !   Call   from   Landline   09064019788   BOX42WR29C
"ham"," here   is   my   new   address   - apples & pairs & all   that   malarky " 

"spam"," Todays   Voda   numbers   ending   7548   are   selected   to   receive   a   $ 350   award .   If   you   have   a   match   please   call   08712300220   quoting   claim   code   4041   standard   rates   app " 

"ham"," I   am   going   to   sao   mu   today .   Will   be   done   only   at   12 " 

"ham"," Ü   predict   wat   time   ü ' ll   finish   buying ? " 

"ham"," Good   stuff
"ham"," Just   so   that   you   know
"ham"," Are   you   there   in   room . " 

"ham"," HEY   GIRL .   HOW   R   U ?   HOPE   U   R   WELL   ME   AN   DEL   R   BAK !   AGAIN   LONG   TIME   NO   C !   GIVE   ME   A   CALL   SUM   TIME   FROM   LUCYxx " 

"ham"," K .. k : ) how   much   does   it   cost ? " 

"ham"," I ' m   home . " 

"ham"," Dear
"ham"," First   answer   my   question . " 

"spam"," Sunshine   Quiz   Wkly   Q !   Win   a   top   Sony   DVD   player   if   u   know   which   country   the   Algarve   is   in ?   Txt   ansr   to   82277.   £ 1.50   SP : Tyrone " 

"spam"," Want   2   get   laid   tonight ?   Want   real   Dogging   locations   sent   direct   2   ur   mob ?   Join   the   UK ' s   largest   Dogging   Network   bt   Txting   GRAVEL   to   69888 !   Nt .   ec2a .   31 p . msg @ 150 p " 

"ham"," I   only   haf   msn .   It ' s   yijue @ hotmail . com " 

"ham"," He   is   there .   You   call   and   meet   him " 

"ham"," No   no .   I   will   check   all   rooms   befor   activities " 

"spam"," You ' ll   not   rcv   any   more   msgs   from   the   chat   svc .   For   FREE   Hardcore   services   text   GO   to :   69988   If   u   get   nothing   u   must   Age   Verify   with   yr   network   &   try   again " 

